plot_cn,STATECD,UNITCD,COUNTYCD,PLOT,LAT,LON,ELEV,INVYR,MEASYEAR,PLOT_STATUS_CD,FORTYPCD,LIVE_CANOPY_CVR_PCT,STDAGE,SLOPE,ASPECT,CONDID,geometry,boletus_id,boletus_lat,boletus_lon,boletus_elevation,boletus_date,distance_km,state,annual_precipitation_mm
273640479489998,41,1,43,61474,44.520066,-122.06267,4100.0,2015,2015,1,263.0,60.0,105.0,10.0,34.0,1,POINT (-122.06266999999998 44.520065999999986),87493564,44.5343177733,-122.0760963857,,2021-06-14,1.9091314111681084,OR,2392.47216796875
30764693020004,41,2,29,72894,42.253975,-122.304464,5900.0,2012,2012,1,262.0,40.0,100.0,10.0,238.0,1,POINT (-122.304464 42.253975000000004),88574181,42.2407194444,-122.3184277778,,2021-06-27,1.8690951263166515,OR,1464.067626953125
750064459290487,41,2,29,68056,42.232388,-122.299098,5500.0,2021,2021,1,201.0,75.0,102.0,20.0,155.0,1,POINT (-122.299098 42.23238800000001),88574181,42.2407194444,-122.3184277778,,2021-06-27,1.8438389671922042,OR,1464.067626953125
490388546126144,41,2,29,63535,42.231653,-122.332445,5100.0,2018,2018,1,261.0,88.0,130.0,12.0,170.0,1,POINT (-122.33244499999999 42.23165300000001),88574181,42.2407194444,-122.3184277778,,2021-06-27,1.5333739872675871,OR,1276.3565673828125
24054871010900,41,2,29,72894,42.253975,-122.304464,5900.0,2002,2002,1,262.0,,90.0,0.0,0.0,1,POINT (-122.304464 42.253975000000004),88574181,42.2407194444,-122.3184277778,,2021-06-27,1.8690951263166515,OR,1464.067626953125
41117920010497,41,1,39,86470,44.150208,-122.004286,3500.0,2006,2006,1,201.0,,42.0,20.0,180.0,1,POINT (-122.004286 44.15020799999999),92572696,44.1373,-121.9951,,2018-05-16,1.6111129600137772,OR,2362.174560546875
346864009489998,41,1,39,86470,44.150208,-122.004286,3500.0,2016,2016,1,201.0,70.0,52.0,15.0,180.0,1,POINT (-122.004286 44.15020799999999),92572696,44.1373,-121.9951,,2018-05-16,1.6111129600137772,OR,2362.174560546875
41117724010497,41,3,35,54770,42.570922,-122.126837,5500.0,2006,2006,1,262.0,,100.0,10.0,100.0,1,POINT (-122.126837 42.570922),125480238,42.5880949601,-122.1278625637,,2022-06-29,1.908864214092356,OR,1312.717529296875
346864486489998,41,3,35,54770,42.570922,-122.126837,5500.0,2016,2016,1,262.0,65.0,110.0,10.0,110.0,1,POINT (-122.126837 42.570922),125480238,42.5880949601,-122.1278625637,,2022-06-29,1.908864214092356,OR,1312.717529296875
174763181020004,41,3,35,92619,42.552274,-122.199447,6300.0,2013,2013,1,262.0,60.0,120.0,25.0,163.0,1,POINT (-122.199447 42.55227399999999),125558096,42.5432616667,-122.180755,,2022-07-09,1.8322275567436164,OR,1430.8326416015625
44540996020004,41,3,35,79387,42.550508,-122.159939,6100.0,2013,2013,1,262.0,93.0,110.0,5.0,70.0,1,POINT (-122.159939 42.550508),125558096,42.5432616667,-122.180755,,2022-07-09,1.8891348381448607,OR,1358.4825439453125
41119333010497,41,3,35,92619,42.552274,-122.199447,6300.0,2003,2003,1,262.0,,110.0,20.0,150.0,1,POINT (-122.199447 42.55227399999999),125558096,42.5432616667,-122.180755,,2022-07-09,1.8322275567436164,OR,1430.8326416015625
24388585010900,41,3,35,79387,42.550508,-122.159939,6100.0,2003,2003,1,262.0,,100.0,10.0,41.0,1,POINT (-122.159939 42.550508),125558096,42.5432616667,-122.180755,,2022-07-09,1.8891348381448607,OR,1358.4825439453125
8679203010901,41,2,29,67211,42.060205,-122.799288,5700.0,2006,2006,1,261.0,,250.0,48.0,272.0,1,POINT (-122.799288 42.06020500000001),125607051,42.0544833333,-122.7955527778,,2022-07-09,0.7064703821195759,OR,1455.9635009765625
345933368489998,41,2,29,67211,42.060205,-122.799288,5700.0,2016,2016,1,261.0,54.0,260.0,45.0,271.0,1,POINT (-122.799288 42.06020500000001),125607051,42.0544833333,-122.7955527778,,2022-07-09,0.7064703821195759,OR,1455.9635009765625
193209003020004,41,1,43,70618,44.491094,-122.068745,4300.0,2007,2007,1,267.0,,155.0,60.0,165.0,1,POINT (-122.06874500000002 44.491094),126424346,44.47847168,-122.06892336,,2022-07-06,1.4022190474285634,OR,2392.47216796875
444202173489998,41,1,43,70618,44.491094,-122.068745,4300.0,2017,2017,1,267.0,60.0,165.0,60.0,165.0,1,POINT (-122.06874500000002 44.491094),126424346,44.47847168,-122.06892336,,2022-07-06,1.4022190474285634,OR,2392.47216796875
22932742010497,41,0,27,60756,45.424933,-121.596425,3700.0,2008,2008,1,267.0,,35.0,40.0,97.0,1,POINT (-121.59642500000001 45.42493299999999),136566018,45.4229966667,-121.6036616667,,2022-06-21,0.6057197277651184,OR,1762.033935546875
