plot_cn,SPCD,species_name,scientific_name,tree_count,avg_dia,max_dia,avg_ht,total_carbon,trees_5plus_inches,state
41118311010497,202,Douglas-fir,Pseudotsuga menziesii,6,4.366666666666667,5.7,25.333333333333332,183.07437,4,OR
41118601010497,15,white fir,Abies concolor,10,7.81,21.0,35.9,2345.449992,7,OR
41118601010497,19,subalpine fir,Abies lasiocarpa,2,6.15,7.3,26.0,97.318408,2,OR
41118601010497,93,Engelmann spruce,Picea engelmannii,11,4.7,13.7,22.545454545454547,799.776434,4,OR
41118601010497,108,lodgepole pine,Pinus contorta,10,7.87,13.6,45.5,1635.004158,9,OR
41118601010497,122,ponderosa pine,Pinus ponderosa,2,20.45,33.5,70.0,4464.330369,2,OR
41118601010497,264,mountain hemlock,Tsuga mertensiana,7,13.042857142857143,27.9,45.42857142857143,5389.198865,6,OR
41118907010497,15,white fir,Abies concolor,18,11.68888888888889,18.8,68.83333333333333,8773.966207000001,18,OR
41118907010497,122,ponderosa pine,Pinus ponderosa,16,26.0125,34.2,99.375,42716.724355,16,OR
41119072010497,15,white fir,Abies concolor,12,17.033333333333335,28.4,69.0,15623.13549,12,OR
41119072010497,122,ponderosa pine,Pinus ponderosa,22,11.740909090909092,36.8,60.68181818181818,21053.631331,19,OR
41119333010497,21,Shasta red fir,Abies shastensis,41,22.229268292682928,51.5,99.95121951219512,96883.39985100001,41,OR
41119513010497,15,white fir,Abies concolor,12,14.583333333333334,33.1,55.333333333333336,12287.737836999999,11,OR
41119513010497,122,ponderosa pine,Pinus ponderosa,1,5.7,5.7,21.0,41.928077,1,OR
41119513010497,202,Douglas-fir,Pseudotsuga menziesii,3,6.633333333333333,7.0,34.666666666666664,206.868871,3,OR
41119711010497,202,Douglas-fir,Pseudotsuga menziesii,9,46.15555555555555,63.0,173.22222222222223,102924.169805,9,OR
41119711010497,242,western redcedar,Thuja plicata,13,20.26923076923077,44.8,92.53846153846153,19911.369006,13,OR
41119711010497,263,western hemlock,Tsuga heterophylla,9,11.31111111111111,31.3,57.888888888888886,6079.341944,9,OR
41120128010497,11,Pacific silver fir,Abies amabilis,16,4.9875,14.4,26.5625,1181.757172,9,OR
41120128010497,22,noble fir,Abies procera,4,29.75,41.8,140.5,19885.779925000003,4,OR
41120128010497,202,Douglas-fir,Pseudotsuga menziesii,16,33.3125,40.1,148.875,83719.350801,16,OR
41120128010497,263,western hemlock,Tsuga heterophylla,3,11.4,17.5,59.333333333333336,1320.14484,3,OR
41120161010497,15,white fir,Abies concolor,11,9.60909090909091,49.1,41.18181818181818,15571.47551,6,OR
41120161010497,21,Shasta red fir,Abies shastensis,3,17.466666666666665,40.4,71.0,7447.802657,3,OR
41120161010497,202,Douglas-fir,Pseudotsuga menziesii,13,16.923076923076923,50.6,67.38461538461539,31914.516962,13,OR
41120206010497,93,Engelmann spruce,Picea engelmannii,6,12.216666666666667,27.8,54.333333333333336,3245.9994500000003,6,OR
41120206010497,108,lodgepole pine,Pinus contorta,33,2.6848484848484846,12.9,22.333333333333332,986.771385,5,OR
412222447489998,15,white fir,Abies concolor,42,13.921428571428573,34.6,69.30952380952381,58364.535906,38,OR
412222447489998,21,Shasta red fir,Abies shastensis,2,6.300000000000001,6.9,31.5,109.98447200000001,2,OR
